"name","variable"
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over","DP02_0058E"
"Estimate!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","DP02_0059E"
"Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)	","DP02_0061E"
"Estimate!!EDUCATIONAL ATTAINMENT!!Some college, no degree	","DP02_0062E"
"Estimate!!EDUCATIONAL ATTAINMENT!!Associate's degree","DP02_0063E"
"Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","DP02_0064E"
"Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","DP02_0065E"
"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over","DP02_0110E"
"Estimate!!LANGUAGE SPOKEN AT HOME!!English only","DP02_0111E"
"Estimate!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish","DP02_0114E"
"Estimate!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish!!Speak English less than ""very well""","DP02_0115E"
"Less than $10,000","DP03_0076E"
"$10,000 to $14,999","DP03_0077E"
"$15,000 to $24,999","DP03_0078E"
"$25,000 to $34,999","DP03_0080E"
"$35,000 to $49,999","DP03_0081E"
"$50,000 to $74,999","DP03_0082E"
"$75,000 to $99,999","DP03_0083E"
"$100,000 to $149,999","DP03_0084E"
"$150,000 to $199,999","DP03_0085E"
"$200,000 or more","DP03_0070E"
"With Supplemental Security Income","DP03_0072PE"
"With cash public assistance income","DP03_0074PE"
"With Food Stamp/SNAP benefits in the past 12 months","DP03_0073PE"
"Estimate!!RACE!!Total population","DP05_0028E"
"Estimate!!RACE!!One race","DP05_0029E"
"Estimate!!RACE!!Two or more races","DP05_0030E"
"Estimate!!RACE!!One race!!White","DP05_0032E"
"Estimate!!RACE!!One race!!Black or African American","DP05_0033E"
"Estimate!!RACE!!One race!!American Indian and Alaska Native","DP05_0034E"
"Estimate!!RACE!!One race!!Asian","DP05_0039E"
"Estimate!!RACE!!One race!!Asian!!Asian Indian","DP05_0040E"
"Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander","DP05_0047E"
"Estimate!!RACE!!One race!!Some other race","DP05_0052E"
"Estimate!!HISPANIC OR LATINO AND RACE!!Total population	","DP05_0065E"
"Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","DP05_0066E"
