"name","variable"
"Total: Households","P020001"
"Total:  English","P020002"
"Total:  Spanish:  Linguistically isolated","P020004"
"Total:  Spanish:  Not linguistically isolated","P020005"
"Total: Population for whom poverty status is determined","P088001"
"Total:  Under .50","P088002"
"Total:  50 to .74","P088003"
"Total:  75 to .99	","P088004"
"Total:  1.00 to 1.24	","P088005"
"Total:  1.25 to 1.49","P088006"
"Total:  1.50 to 1.74","P088007"
"Total:  1.75 to 1.84","P088008"
"Total:  1.85 to 1.99","P088009"
"Total:  2.00 and over","P088010"
"Total: Population 25 years and over","P037001"
"Total:  Male:","P037002"
"Total:  Male:  No schooling completed","P037003"
"Total:  Male:  High school graduate (includes equivalency)","P037011"
"Total:  Male:  Some college, 1 or more years, no degree","P037013"
"Total:  Male:  Associate degree","P037014"
"Total:  Male:  Bachelor's degree","P037015"
"Total:  Male:  Master's degree","P037016"
"Total:  Male:  Professional school degree","P037017"
"Total:  Male:  Doctorate degree","P037018"
"Total:  Female:","P037019"
"Total:  Female:  No schooling completed","P037020"
"Total:  Female:  High school graduate (includes equivalency)","P037028"
"Total:  Female:  Some college, 1 or more years, no degree","P037030"
"Total:  Female:  Associate degree","P037031"
"Total:  Female:  Bachelor's degree","P037032"
"Total:  Female:  Master's degree","P037033"
"Total:  Female:  Professional school degree","P037034"
"Total:  Female:  Doctorate degree","P037035"
"Total:  Less than $10,000","H097002"
"Total:  $10,000 to $19,999	","H073009"
"Total:  $20,000 to $34,999:","H073016"
"Total:  $35,000 to $49,999:","H073023"
"Total:  $50,000 to $74,999:","H073030"
"Total:  $75,000 to $99,999:","H073037"
"Total:  $100,000 or more:","H073044"
